trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,0,-189.73897489374602,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",25,6,-119.80307258114141,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",30,0,-114.12331562733418,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",30,0,-201.58354453583866,"{0: 14, 1: 2, 2: 10, 3: 3, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",30,0,-114.81772162079263,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",20,0,-78.48359820300674,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",30,19,-4.5999541011114395,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",30,9,-43.70852731354098,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",20,7,-17.28885331736658,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",20,0,-67.0120244305996,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",25,12,-21.441708022283283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",20,11,5.481831585426026,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-9.048239327911746,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",20,11,5.963285918345578,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",25,12,9.235732722464107,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,4,6.94361309880594,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",20,0,-14.097220030877516,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",25,2,36.63542406621595,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",25,13,18.31865349714676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",35,15,24.40389920587736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,13,23.957868178622444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,15,18.563234610199956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,35.92488251277125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,6,34.74976699750969,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,15,17.818107312493584,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,17,12.444867577663794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,13,11.01743068502179,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,11,24.166450520344835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,7,20.482394501209946,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,12,21.754582688203254,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
