trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.838157977164,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.7747504284234,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.86187645126309,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,7,-2.4232805892563585,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-54.83688774346102,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.33819654097928,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,10,-142.52918291849505,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.86155001055901,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.44382250670601,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,5,-35.88866355513987,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.57952476975055,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.51360189162614,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.60709240502422,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,9,-36.28966710878036,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.645507986387216,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.67319769125824,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.47809742179697,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.06972133917986,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,7,-31.848177601932676,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.89049452585985,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.44769544906504,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.76542709036305,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,13,-103.52582134614708,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,10,-49.60145319689959,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.06936002194793,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.44284407734652,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.47439099089928,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.14683235160678,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.74697696689,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,13,-18.149080563413662,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
